FileName, Size,DateModified
         ca_subSCI_dasuv_201808.nc,58.33 Mbytes,2018-08-10T15:06:17Z
         ca_subSCI_dasuv_201807.nc,187.6 Mbytes,2018-08-02T03:06:20Z
         ca_subSCI_dasuv_201806.nc,189.1 Mbytes,2018-07-02T03:06:19Z
         ca_subSCI_dasuv_201805.nc,193.9 Mbytes,2018-06-02T03:06:22Z
         ca_subSCI_dasuv_201804.nc,174.9 Mbytes,2018-05-02T03:06:25Z
         ca_subSCI_dasuv_201803.nc,190.7 Mbytes,2018-04-02T03:06:13Z
         ca_subSCI_dasuv_201802.nc,167.1 Mbytes,2018-03-02T04:06:18Z
         ca_subSCI_dasuv_201801.nc,189.1 Mbytes,2018-02-02T04:06:20Z
         ca_subSCI_dasuv_201712.nc,195.4 Mbytes,2018-01-02T04:06:27Z
         ca_subSCI_dasuv_201711.nc,182.8 Mbytes,2017-12-02T04:06:16Z
         ca_subSCI_dasuv_201710.nc,195.4 Mbytes,2017-11-02T03:06:25Z
         ca_subSCI_dasuv_201709.nc,189.1 Mbytes,2017-10-02T03:06:14Z
         ca_subSCI_dasuv_201708.nc,195.4 Mbytes,2017-09-02T03:06:28Z
         ca_subSCI_dasuv_201707.nc,193.9 Mbytes,2017-08-02T03:06:20Z
         ca_subSCI_dasuv_201706.nc,189.1 Mbytes,2017-07-02T03:06:20Z
         ca_subSCI_dasuv_201705.nc,193.9 Mbytes,2017-06-02T03:06:15Z
         ca_subSCI_dasuv_201704.nc,182.8 Mbytes,2017-05-02T03:06:21Z
         ca_subSCI_dasuv_201703.nc,195.4 Mbytes,2017-04-02T03:06:36Z
         ca_subSCI_dasuv_201702.nc,176.5 Mbytes,2017-03-02T04:06:18Z
         ca_subSCI_dasuv_201701.nc,190.7 Mbytes,2017-02-02T04:06:19Z
         ca_subSCI_dasuv_201612.nc,195.4 Mbytes,2017-01-02T04:06:15Z
         ca_subSCI_dasuv_201611.nc,174.9 Mbytes,2016-12-02T04:06:41Z
         ca_subSCI_dasuv_201609.nc,189.1 Mbytes,2016-11-02T22:52:33Z
         ca_subSCI_dasuv_201608.nc,189.1 Mbytes,2016-11-04T17:31:47Z
         ca_subSCI_dasuv_201607.nc,195.4 Mbytes,2016-11-04T17:37:33Z
         ca_subSCI_dasuv_201606.nc,189.1 Mbytes,2016-11-04T17:43:06Z
         ca_subSCI_dasuv_201605.nc,195.4 Mbytes,2016-11-04T17:48:43Z
         ca_subSCI_dasuv_201604.nc, ,2016-11-04T17:53:58Z
         ca_subSCI_dasuv_201603.nc, ,2016-11-04T18:00:09Z
         ca_subSCI_dasuv_201602.nc, ,2016-11-04T18:05:24Z
         ca_subSCI_dasuv_201601.nc,195.4 Mbytes,2016-11-04T18:19:52Z
         ca_subSCI_dasuv_201512.nc,190.7 Mbytes,2016-11-04T19:29:45Z
         ca_subSCI_dasuv_201511.nc,189.1 Mbytes,2016-11-04T19:29:40Z
         ca_subSCI_dasuv_201510.nc,192.3 Mbytes,2016-11-04T19:29:35Z
         ca_subSCI_dasuv_201509.nc, ,2016-11-04T19:29:31Z
         ca_subSCI_dasuv_201508.nc,190.7 Mbytes,2016-11-04T19:29:31Z
         ca_subSCI_dasuv_201507.nc,195.4 Mbytes,2016-11-04T19:29:26Z
         ca_subSCI_dasuv_201506.nc,189.1 Mbytes,2016-11-04T19:29:22Z
